Region,Species,LifeStage,Season,maxWaterTemp
Suisun Marsh,Tule Perch,Adult,Winter,19.600000381469727
Suisun Marsh,Tule Perch,Juvenile-Larvae,Winter,20
Suisun Marsh,Hitch,Adult,Winter,15.199999809265137
Suisun Marsh,Hitch,Juvenile-Larvae,Winter,18.399999618530273
Suisun Marsh,Mississippi Silverside,Adult,Winter,18.299999237060547
Suisun Marsh,Mississippi Silverside,Juvenile,Winter,19.899999618530273
Suisun Marsh,Striped Bass,Adult,Winter,17.100000381469727
Suisun Marsh,Striped Bass,Juvenile,Winter,20
Suisun Marsh,Striped Bass,Larvae,Winter,17.600000381469727
Suisun Marsh,Steelhead/Rainbow Trout,Adult,Winter,10
Suisun Marsh,Steelhead/Rainbow Trout,Juvenile,Winter,15.199999809265137
Suisun Marsh,Chinook Salmon,Juvenile,Winter,18.299999237060547
Suisun Marsh,Chinook Salmon,Larvae,Winter,17.100000381469727
Suisun Marsh,Sacramento Blackfish,Adult,Winter,10.600000381469727
Suisun Marsh,Sacramento Blackfish,Juvenile-Larvae,Winter,15
Suisun Marsh,Sacramento Splittail,Adult,Winter,20
Suisun Marsh,Sacramento Splittail,Juvenile,Winter,20
Suisun Marsh,Sacramento Pikeminnow,Adult,Winter,16.799999237060547
Suisun Marsh,Sacramento Pikeminnow,Juvenile-Larvae,Winter,19
Suisun Marsh,Longfin Smelt,Adult,Winter,16.200000762939453
Suisun Marsh,Longfin Smelt,Juvenile,Winter,17.899999618530273
Suisun Marsh,Longfin Smelt,Larvae,Winter,17.899999618530273
Central,Green Sturgeon,Juvenile,Spring,22.77777777777778
Central,White Sturgeon,Juvenile,Spring,23.333333333333332
Central,White Sturgeon,Larvae,Spring,23.77777777777778
Central,Sacramento Sucker,Adult,Spring,23.333333333333332
Central,Sacramento Sucker,Juvenile,Spring,25.555557250976563
Central,Prickly Sculpin,Adult,Spring,30
Central,Prickly Sculpin,Juvenile-Larvae,Spring,30
Central,Threespine Stickleback,Adult,Spring,22.944444444444443
Central,Threespine Stickleback,Juvenile-Larvae,Spring,23.88888888888889
