StressAllDay,Region,Station,WY,fWY,nDays,totalDays,propDays
N,Confluence,RVB,2016,2016,364,364,1
Y,Confluence,RVB,2016,2016,0,364,0
N,Confluence,RVB,2017,2017,360,360,1
Y,Confluence,RVB,2017,2017,0,360,0
N,Confluence,RVB,2018,2018,362,362,1
Y,Confluence,RVB,2018,2018,0,362,0
N,Confluence,RVB,2019,2019,363,363,1
Y,Confluence,RVB,2019,2019,0,363,0
N,Confluence,SAL,2010,2010,365,365,1
Y,Confluence,SAL,2010,2010,0,365,0
N,Confluence,SAL,2011,2011,363,363,1
Y,Confluence,SAL,2011,2011,0,363,0
N,Confluence,SAL,2012,2012,360,360,1
Y,Confluence,SAL,2012,2012,0,360,0
N,Confluence,SAL,2013,2013,361,361,1
Y,Confluence,SAL,2013,2013,0,361,0
N,Confluence,SAL,2014,2014,365,365,1
Y,Confluence,SAL,2014,2014,0,365,0
N,Confluence,SAL,2015,2015,361,361,1
Y,Confluence,SAL,2015,2015,0,361,0
N,Confluence,SAL,2016,2016,364,364,1
Y,Confluence,SAL,2016,2016,0,364,0
N,Confluence,SAL,2017,2017,352,352,1
Y,Confluence,SAL,2017,2017,0,352,0
N,Confluence,SAL,2018,2018,278,278,1
Y,Confluence,SAL,2018,2018,0,278,0
N,Confluence,SAL,2019,2019,331,331,1
Y,Confluence,SAL,2019,2019,0,331,0
N,Confluence,SDI,2011,2011,362,362,1
Y,Confluence,SDI,2011,2011,0,362,0
N,Confluence,SDI,2012,2012,360,360,1
Y,Confluence,SDI,2012,2012,0,360,0
N,Confluence,SDI,2013,2013,363,363,1
Y,Confluence,SDI,2013,2013,0,363,0
N,Confluence,SDI,2014,2014,363,363,1
Y,Confluence,SDI,2014,2014,0,363,0
N,Confluence,SDI,2015,2015,355,355,1
Y,Confluence,SDI,2015,2015,0,355,0
N,Confluence,SDI,2016,2016,366,366,1
Y,Confluence,SDI,2016,2016,0,366,0
N,Confluence,SDI,2018,2018,346,346,1
Y,Confluence,SDI,2018,2018,0,346,0
N,Confluence,SDI,2019,2019,340,340,1
Y,Confluence,SDI,2019,2019,0,340,0
N,Confluence,SRV,2011,2011,362,362,1
Y,Confluence,SRV,2011,2011,0,362,0
N,Confluence,SRV,2012,2012,366,366,1
Y,Confluence,SRV,2012,2012,0,366,0
N,Confluence,SRV,2013,2013,365,365,1
Y,Confluence,SRV,2013,2013,0,365,0
N,Confluence,SRV,2014,2014,363,363,1
Y,Confluence,SRV,2014,2014,0,363,0
N,Confluence,SRV,2015,2015,361,361,1
Y,Confluence,SRV,2015,2015,0,361,0
N,Confluence,SRV,2016,2016,365,365,1
Y,Confluence,SRV,2016,2016,0,365,0
N,Confluence,SRV,2017,2017,364,364,1
Y,Confluence,SRV,2017,2017,0,364,0
N,Confluence,SRV,2018,2018,360,360,1
Y,Confluence,SRV,2018,2018,0,360,0
N,Confluence,SRV,2019,2019,350,350,1
Y,Confluence,SRV,2019,2019,0,350,0
N,Confluence,STI,2010,2010,365,365,1
Y,Confluence,STI,2010,2010,0,365,0
N,Confluence,STI,2011,2011,361,361,1
Y,Confluence,STI,2011,2011,0,361,0
N,Confluence,STI,2012,2012,361,361,1
Y,Confluence,STI,2012,2012,0,361,0
N,Confluence,STI,2013,2013,360,361,0.997
Y,Confluence,STI,2013,2013,1,361,0.003
N,Confluence,STI,2014,2014,359,363,0.989
Y,Confluence,STI,2014,2014,4,363,0.011
N,Confluence,STI,2015,2015,360,363,0.992
Y,Confluence,STI,2015,2015,3,363,0.008
N,Confluence,STI,2016,2016,364,364,1
Y,Confluence,STI,2016,2016,0,364,0
N,Confluence,STI,2017,2017,353,353,1
Y,Confluence,STI,2017,2017,0,353,0
N,Confluence,STI,2018,2018,365,365,1
Y,Confluence,STI,2018,2018,0,365,0
N,Confluence,STI,2019,2019,358,358,1
Y,Confluence,STI,2019,2019,0,358,0
N,Confluence,TMS,2010,2010,365,365,1
Y,Confluence,TMS,2010,2010,0,365,0
N,Confluence,TMS,2011,2011,359,359,1
Y,Confluence,TMS,2011,2011,0,359,0
N,Confluence,TMS,2012,2012,353,353,1
Y,Confluence,TMS,2012,2012,0,353,0
N,Confluence,TMS,2013,2013,323,323,1
Y,Confluence,TMS,2013,2013,0,323,0
N,Confluence,TMS,2014,2014,359,359,1
Y,Confluence,TMS,2014,2014,0,359,0
N,Confluence,TMS,2015,2015,365,365,1
Y,Confluence,TMS,2015,2015,0,365,0
N,Confluence,TMS,2016,2016,364,364,1
Y,Confluence,TMS,2016,2016,0,364,0
N,Confluence,TMS,2017,2017,359,359,1
Y,Confluence,TMS,2017,2017,0,359,0
N,Confluence,TMS,2018,2018,365,365,1
Y,Confluence,TMS,2018,2018,0,365,0
N,Confluence,TMS,2019,2019,352,352,1
Y,Confluence,TMS,2019,2019,0,352,0
N,Confluence,TSL,2010,2010,365,365,1
Y,Confluence,TSL,2010,2010,0,365,0
N,Confluence,TSL,2011,2011,363,363,1
Y,Confluence,TSL,2011,2011,0,363,0
N,Confluence,TSL,2012,2012,353,353,1
Y,Confluence,TSL,2012,2012,0,353,0
N,Confluence,TSL,2013,2013,362,362,1
Y,Confluence,TSL,2013,2013,0,362,0
N,Confluence,TSL,2014,2014,363,363,1
Y,Confluence,TSL,2014,2014,0,363,0
N,Confluence,TSL,2015,2015,360,360,1
Y,Confluence,TSL,2015,2015,0,360,0
N,Confluence,TSL,2016,2016,360,360,1
Y,Confluence,TSL,2016,2016,0,360,0
N,Confluence,TSL,2017,2017,365,365,1
Y,Confluence,TSL,2017,2017,0,365,0
N,Confluence,TSL,2018,2018,363,363,1
Y,Confluence,TSL,2018,2018,0,363,0
N,Confluence,TSL,2019,2019,360,360,1
Y,Confluence,TSL,2019,2019,0,360,0
N,North Delta,BKS,2010,2010,349,349,1
Y,North Delta,BKS,2010,2010,0,349,0
N,North Delta,BKS,2011,2011,359,359,1
Y,North Delta,BKS,2011,2011,0,359,0
N,North Delta,BKS,2012,2012,346,346,1
Y,North Delta,BKS,2012,2012,0,346,0
N,North Delta,BKS,2013,2013,341,341,1
Y,North Delta,BKS,2013,2013,0,341,0
N,North Delta,BKS,2014,2014,361,361,1
Y,North Delta,BKS,2014,2014,0,361,0
N,North Delta,BKS,2015,2015,354,354,1
Y,North Delta,BKS,2015,2015,0,354,0
N,North Delta,BKS,2016,2016,281,281,1
Y,North Delta,BKS,2016,2016,0,281,0
N,North Delta,BKS,2017,2017,324,326,0.994
Y,North Delta,BKS,2017,2017,2,326,0.006
N,North Delta,BKS,2018,2018,316,316,1
Y,North Delta,BKS,2018,2018,0,316,0
N,North Delta,BKS,2019,2019,345,345,1
Y,North Delta,BKS,2019,2019,0,345,0
N,North Delta,DLC,2011,2011,364,364,1
Y,North Delta,DLC,2011,2011,0,364,0
N,North Delta,DLC,2012,2012,364,364,1
Y,North Delta,DLC,2012,2012,0,364,0
N,North Delta,DLC,2013,2013,362,362,1
Y,North Delta,DLC,2013,2013,0,362,0
N,North Delta,DLC,2014,2014,365,365,1
Y,North Delta,DLC,2014,2014,0,365,0
N,North Delta,DLC,2015,2015,354,360,0.983
Y,North Delta,DLC,2015,2015,6,360,0.017
N,North Delta,DLC,2016,2016,364,364,1
Y,North Delta,DLC,2016,2016,0,364,0
N,North Delta,DLC,2017,2017,356,359,0.992
Y,North Delta,DLC,2017,2017,3,359,0.008
N,North Delta,DLC,2018,2018,357,357,1
Y,North Delta,DLC,2018,2018,0,357,0
N,North Delta,DLC,2019,2019,326,326,1
Y,North Delta,DLC,2019,2019,0,326,0
N,North Delta,DWS,2012,2012,364,364,1
Y,North Delta,DWS,2012,2012,0,364,0
N,North Delta,DWS,2013,2013,361,361,1
Y,North Delta,DWS,2013,2013,0,361,0
N,North Delta,DWS,2014,2014,364,364,1
Y,North Delta,DWS,2014,2014,0,364,0
N,North Delta,DWS,2015,2015,351,351,1
Y,North Delta,DWS,2015,2015,0,351,0
N,North Delta,DWS,2016,2016,366,366,1
Y,North Delta,DWS,2016,2016,0,366,0
N,North Delta,DWS,2017,2017,360,360,1
Y,North Delta,DWS,2017,2017,0,360,0
N,North Delta,DWS,2018,2018,359,359,1
Y,North Delta,DWS,2018,2018,0,359,0
N,North Delta,DWS,2019,2019,335,335,1
Y,North Delta,DWS,2019,2019,0,335,0
N,North Delta,GES,2011,2011,364,364,1
Y,North Delta,GES,2011,2011,0,364,0
N,North Delta,GES,2012,2012,365,365,1
Y,North Delta,GES,2012,2012,0,365,0
N,North Delta,GES,2013,2013,362,362,1
Y,North Delta,GES,2013,2013,0,362,0
N,North Delta,GES,2014,2014,362,362,1
Y,North Delta,GES,2014,2014,0,362,0
N,North Delta,GES,2015,2015,350,355,0.986
Y,North Delta,GES,2015,2015,5,355,0.014
N,North Delta,GES,2016,2016,366,366,1
Y,North Delta,GES,2016,2016,0,366,0
N,North Delta,GES,2017,2017,358,358,1
Y,North Delta,GES,2017,2017,0,358,0
N,North Delta,GES,2018,2018,354,354,1
Y,North Delta,GES,2018,2018,0,354,0
N,North Delta,GES,2019,2019,351,351,1
Y,North Delta,GES,2019,2019,0,351,0
N,North Delta,GSS,2011,2011,364,364,1
Y,North Delta,GSS,2011,2011,0,364,0
N,North Delta,GSS,2012,2012,359,359,1
Y,North Delta,GSS,2012,2012,0,359,0
N,North Delta,GSS,2013,2013,362,362,1
Y,North Delta,GSS,2013,2013,0,362,0
N,North Delta,GSS,2014,2014,364,364,1
Y,North Delta,GSS,2014,2014,0,364,0
N,North Delta,GSS,2015,2015,354,360,0.983
Y,North Delta,GSS,2015,2015,6,360,0.017
N,North Delta,GSS,2016,2016,365,365,1
Y,North Delta,GSS,2016,2016,0,365,0
N,North Delta,GSS,2017,2017,359,359,1
Y,North Delta,GSS,2017,2017,0,359,0
N,North Delta,GSS,2018,2018,358,358,1
Y,North Delta,GSS,2018,2018,0,358,0
N,North Delta,GSS,2019,2019,359,359,1
Y,North Delta,GSS,2019,2019,0,359,0
N,North Delta,HWB,2011,2011,365,365,1
Y,North Delta,HWB,2011,2011,0,365,0
N,North Delta,HWB,2012,2012,366,366,1
Y,North Delta,HWB,2012,2012,0,366,0
N,North Delta,HWB,2013,2013,365,365,1
Y,North Delta,HWB,2013,2013,0,365,0
N,North Delta,HWB,2014,2014,363,363,1
Y,North Delta,HWB,2014,2014,0,363,0
N,North Delta,HWB,2015,2015,357,360,0.992
Y,North Delta,HWB,2015,2015,3,360,0.008
N,North Delta,HWB,2016,2016,365,365,1
Y,North Delta,HWB,2016,2016,0,365,0
N,North Delta,HWB,2017,2017,361,361,1
Y,North Delta,HWB,2017,2017,0,361,0
N,North Delta,HWB,2018,2018,358,358,1
Y,North Delta,HWB,2018,2018,0,358,0
N,North Delta,HWB,2019,2019,347,347,1
Y,North Delta,HWB,2019,2019,0,347,0
N,North Delta,LIS,2012,2012,362,362,1
Y,North Delta,LIS,2012,2012,0,362,0
N,North Delta,LIS,2013,2013,348,356,0.978
Y,North Delta,LIS,2013,2013,8,356,0.022
N,North Delta,LIS,2014,2014,361,361,1
Y,North Delta,LIS,2014,2014,0,361,0
N,North Delta,LIS,2015,2015,358,358,1
Y,North Delta,LIS,2015,2015,0,358,0
N,North Delta,LIS,2016,2016,353,364,0.97
Y,North Delta,LIS,2016,2016,11,364,0.03
N,North Delta,LIS,2017,2017,334,359,0.93
Y,North Delta,LIS,2017,2017,25,359,0.07
N,North Delta,LIS,2018,2018,339,339,1
Y,North Delta,LIS,2018,2018,0,339,0
N,North Delta,LIS,2019,2019,305,318,0.959
Y,North Delta,LIS,2019,2019,13,318,0.041
N,North Delta,SRH,2010,2010,364,364,1
Y,North Delta,SRH,2010,2010,0,364,0
N,North Delta,SRH,2011,2011,358,358,1
Y,North Delta,SRH,2011,2011,0,358,0
N,North Delta,SRH,2012,2012,365,365,1
Y,North Delta,SRH,2012,2012,0,365,0
N,North Delta,SRH,2013,2013,364,364,1
Y,North Delta,SRH,2013,2013,0,364,0
N,North Delta,SRH,2014,2014,365,365,1
Y,North Delta,SRH,2014,2014,0,365,0
N,North Delta,SRH,2015,2015,360,363,0.992
Y,North Delta,SRH,2015,2015,3,363,0.008
N,North Delta,SRH,2016,2016,365,365,1
Y,North Delta,SRH,2016,2016,0,365,0
N,North Delta,SRH,2017,2017,363,363,1
Y,North Delta,SRH,2017,2017,0,363,0
N,North Delta,SRH,2018,2018,361,361,1
Y,North Delta,SRH,2018,2018,0,361,0
N,North Delta,SRH,2019,2019,363,363,1
Y,North Delta,SRH,2019,2019,0,363,0
N,South,BDT,2010,2010,353,365,0.967
Y,South,BDT,2010,2010,12,365,0.033
N,South,BDT,2011,2011,363,363,1
Y,South,BDT,2011,2011,0,363,0
N,South,BDT,2012,2012,362,366,0.989
Y,South,BDT,2012,2012,4,366,0.011
N,South,BDT,2013,2013,319,363,0.879
Y,South,BDT,2013,2013,44,363,0.121
N,South,BDT,2014,2014,302,365,0.827
Y,South,BDT,2014,2014,63,365,0.173
N,South,BDT,2015,2015,308,362,0.851
Y,South,BDT,2015,2015,54,362,0.149
N,South,BDT,2016,2016,313,364,0.86
Y,South,BDT,2016,2016,51,364,0.14
N,South,BDT,2017,2017,363,363,1
Y,South,BDT,2017,2017,0,363,0
N,South,BDT,2018,2018,311,365,0.852
Y,South,BDT,2018,2018,54,365,0.148
N,South,BDT,2019,2019,363,363,1
Y,South,BDT,2019,2019,0,363,0
N,South,DGL,2010,2010,360,365,0.986
Y,South,DGL,2010,2010,5,365,0.014
N,South,DGL,2011,2011,335,335,1
Y,South,DGL,2011,2011,0,335,0
N,South,DGL,2012,2012,342,357,0.958
Y,South,DGL,2012,2012,15,357,0.042
N,South,DGL,2013,2013,311,343,0.907
Y,South,DGL,2013,2013,32,343,0.093
N,South,DGL,2014,2014,334,363,0.92
Y,South,DGL,2014,2014,29,363,0.08
N,South,DGL,2015,2015,341,355,0.961
Y,South,DGL,2015,2015,14,355,0.039
N,South,DGL,2016,2016,339,364,0.931
Y,South,DGL,2016,2016,25,364,0.069
N,South,DGL,2017,2017,354,354,1
Y,South,DGL,2017,2017,0,354,0
N,South,DGL,2018,2018,341,359,0.95
Y,South,DGL,2018,2018,18,359,0.05
N,South,DGL,2019,2019,349,349,1
Y,South,DGL,2019,2019,0,349,0
N,South,GCT,2010,2010,354,361,0.981
Y,South,GCT,2010,2010,7,361,0.019
N,South,GCT,2011,2011,361,361,1
Y,South,GCT,2011,2011,0,361,0
N,South,GCT,2012,2012,330,349,0.946
Y,South,GCT,2012,2012,19,349,0.054
N,South,GCT,2013,2013,328,362,0.906
Y,South,GCT,2013,2013,34,362,0.094
N,South,GCT,2014,2014,324,357,0.908
Y,South,GCT,2014,2014,33,357,0.092
N,South,GCT,2015,2015,341,354,0.963
Y,South,GCT,2015,2015,13,354,0.037
N,South,GCT,2016,2016,324,348,0.931
Y,South,GCT,2016,2016,24,348,0.069
N,South,GCT,2017,2017,343,343,1
Y,South,GCT,2017,2017,0,343,0
N,South,GCT,2018,2018,268,294,0.912
Y,South,GCT,2018,2018,26,294,0.088
N,South,GLC,2010,2010,360,360,1
Y,South,GLC,2010,2010,0,360,0
N,South,GLC,2011,2011,363,363,1
Y,South,GLC,2011,2011,0,363,0
N,South,GLC,2012,2012,364,364,1
Y,South,GLC,2012,2012,0,364,0
N,South,GLC,2013,2013,339,351,0.966
Y,South,GLC,2013,2013,12,351,0.034
N,South,GLC,2014,2014,324,346,0.936
Y,South,GLC,2014,2014,22,346,0.064
N,South,GLC,2015,2015,337,356,0.947
Y,South,GLC,2015,2015,19,356,0.053
N,South,GLC,2016,2016,350,362,0.967
Y,South,GLC,2016,2016,12,362,0.033
N,South,GLC,2017,2017,354,354,1
Y,South,GLC,2017,2017,0,354,0
N,South,GLC,2018,2018,334,351,0.952
Y,South,GLC,2018,2018,17,351,0.048
N,South,GLC,2019,2019,342,343,0.997
Y,South,GLC,2019,2019,1,343,0.003
N,South,MHO,2011,2011,323,323,1
Y,South,MHO,2011,2011,0,323,0
N,South,MHO,2012,2012,358,364,0.984
Y,South,MHO,2012,2012,6,364,0.016
N,South,MHO,2013,2013,347,354,0.98
Y,South,MHO,2013,2013,7,354,0.02
N,South,MHO,2014,2014,347,362,0.959
Y,South,MHO,2014,2014,15,362,0.041
N,South,MHO,2015,2015,347,360,0.964
Y,South,MHO,2015,2015,13,360,0.036
N,South,MHO,2016,2016,349,361,0.967
Y,South,MHO,2016,2016,12,361,0.033
N,South,MHO,2017,2017,361,362,0.997
Y,South,MHO,2017,2017,1,362,0.003
N,South,MHO,2018,2018,336,352,0.955
Y,South,MHO,2018,2018,16,352,0.045
N,South,MHO,2019,2019,339,357,0.95
Y,South,MHO,2019,2019,18,357,0.05
N,South,MSD,2010,2010,357,364,0.981
Y,South,MSD,2010,2010,7,364,0.019
N,South,MSD,2011,2011,363,363,1
Y,South,MSD,2011,2011,0,363,0
N,South,MSD,2012,2012,349,366,0.954
Y,South,MSD,2012,2012,17,366,0.046
N,South,MSD,2013,2013,330,363,0.909
Y,South,MSD,2013,2013,33,363,0.091
N,South,MSD,2014,2014,317,359,0.883
Y,South,MSD,2014,2014,42,359,0.117
N,South,MSD,2015,2015,329,362,0.909
Y,South,MSD,2015,2015,33,362,0.091
N,South,MSD,2016,2016,332,363,0.915
Y,South,MSD,2016,2016,31,363,0.085
N,South,MSD,2017,2017,361,361,1
Y,South,MSD,2017,2017,0,361,0
N,South,MSD,2018,2018,340,362,0.939
Y,South,MSD,2018,2018,22,362,0.061
N,South,MSD,2019,2019,361,361,1
Y,South,MSD,2019,2019,0,361,0
N,South,ODM,2011,2011,352,352,1
Y,South,ODM,2011,2011,0,352,0
N,South,ODM,2012,2012,354,354,1
Y,South,ODM,2012,2012,0,354,0
N,South,ODM,2013,2013,345,352,0.98
Y,South,ODM,2013,2013,7,352,0.02
N,South,ODM,2014,2014,343,365,0.94
Y,South,ODM,2014,2014,22,365,0.06
N,South,ODM,2015,2015,349,361,0.967
Y,South,ODM,2015,2015,12,361,0.033
N,South,ODM,2016,2016,342,351,0.974
Y,South,ODM,2016,2016,9,351,0.026
N,South,ODM,2017,2017,363,363,1
Y,South,ODM,2017,2017,0,363,0
N,South,ODM,2018,2018,333,337,0.988
Y,South,ODM,2018,2018,4,337,0.012
N,South,ODM,2019,2019,339,342,0.991
Y,South,ODM,2019,2019,3,342,0.009
N,South,OLD,2010,2010,360,364,0.989
Y,South,OLD,2010,2010,4,364,0.011
N,South,OLD,2011,2011,363,363,1
Y,South,OLD,2011,2011,0,363,0
N,South,OLD,2012,2012,349,363,0.961
Y,South,OLD,2012,2012,14,363,0.039
N,South,OLD,2013,2013,341,362,0.942
Y,South,OLD,2013,2013,21,362,0.058
N,South,OLD,2014,2014,348,365,0.953
Y,South,OLD,2014,2014,17,365,0.047
N,South,OLD,2015,2015,357,360,0.992
Y,South,OLD,2015,2015,3,360,0.008
N,South,OLD,2016,2016,362,365,0.992
Y,South,OLD,2016,2016,3,365,0.008
N,South,OLD,2017,2017,363,363,1
Y,South,OLD,2017,2017,0,363,0
N,South,OLD,2018,2018,350,360,0.972
Y,South,OLD,2018,2018,10,360,0.028
N,South,OLD,2019,2019,363,363,1
Y,South,OLD,2019,2019,0,363,0
N,South,SJG,2011,2011,363,363,1
Y,South,SJG,2011,2011,0,363,0
N,South,SJG,2012,2012,334,366,0.913
Y,South,SJG,2012,2012,32,366,0.087
N,South,SJG,2013,2013,323,363,0.89
Y,South,SJG,2013,2013,40,363,0.11
N,South,SJG,2014,2014,309,365,0.847
Y,South,SJG,2014,2014,56,365,0.153
N,South,SJG,2015,2015,283,358,0.791
Y,South,SJG,2015,2015,75,358,0.209
N,South,SJG,2016,2016,309,363,0.851
Y,South,SJG,2016,2016,54,363,0.149
N,South,SJG,2017,2017,363,363,1
Y,South,SJG,2017,2017,0,363,0
N,South,SJG,2018,2018,303,351,0.863
Y,South,SJG,2018,2018,48,351,0.137
N,South,SJG,2019,2019,350,350,1
Y,South,SJG,2019,2019,0,350,0
N,South,SJL,2010,2010,359,365,0.984
Y,South,SJL,2010,2010,6,365,0.016
N,South,SJL,2011,2011,363,363,1
Y,South,SJL,2011,2011,0,363,0
N,South,SJL,2012,2012,345,366,0.943
Y,South,SJL,2012,2012,21,366,0.057
N,South,SJL,2013,2013,325,361,0.9
Y,South,SJL,2013,2013,36,361,0.1
N,South,SJL,2014,2014,281,346,0.812
Y,South,SJL,2014,2014,65,346,0.188
N,South,SJL,2015,2015,315,354,0.89
Y,South,SJL,2015,2015,39,354,0.11
N,South,SJL,2016,2016,313,349,0.897
Y,South,SJL,2016,2016,36,349,0.103
N,South,SJL,2017,2017,360,360,1
Y,South,SJL,2017,2017,0,360,0
N,South,SJL,2018,2018,322,364,0.885
Y,South,SJL,2018,2018,42,364,0.115
N,South,SJL,2019,2019,356,356,1
Y,South,SJL,2019,2019,0,356,0
N,South,SJR,2010,2010,365,365,1
Y,South,SJR,2010,2010,0,365,0
N,South,SJR,2011,2011,363,363,1
Y,South,SJR,2011,2011,0,363,0
N,South,SJR,2012,2012,365,366,0.997
Y,South,SJR,2012,2012,1,366,0.003
N,South,SJR,2013,2013,356,363,0.981
Y,South,SJR,2013,2013,7,363,0.019
N,South,SJR,2014,2014,364,364,1
Y,South,SJR,2014,2014,0,364,0
N,South,SJR,2015,2015,360,363,0.992
Y,South,SJR,2015,2015,3,363,0.008
N,South,SJR,2016,2016,362,362,1
Y,South,SJR,2016,2016,0,362,0
N,South,SJR,2017,2017,359,359,1
Y,South,SJR,2017,2017,0,359,0
N,South,SJR,2018,2018,350,365,0.959
Y,South,SJR,2018,2018,15,365,0.041
N,South,SJR,2019,2019,361,361,1
Y,South,SJR,2019,2019,0,361,0
N,South,UNI,2010,2010,351,357,0.983
Y,South,UNI,2010,2010,6,357,0.017
N,South,UNI,2011,2011,356,356,1
Y,South,UNI,2011,2011,0,356,0
N,South,UNI,2012,2012,342,363,0.942
Y,South,UNI,2012,2012,21,363,0.058
N,South,UNI,2013,2013,319,357,0.894
Y,South,UNI,2013,2013,38,357,0.106
N,South,UNI,2014,2014,345,365,0.945
Y,South,UNI,2014,2014,20,365,0.055
N,South,UNI,2015,2015,346,356,0.972
Y,South,UNI,2015,2015,10,356,0.028
N,South,UNI,2016,2016,325,364,0.893
Y,South,UNI,2016,2016,39,364,0.107
N,South,UNI,2017,2017,363,363,1
Y,South,UNI,2017,2017,0,363,0
N,South,UNI,2018,2018,324,363,0.893
Y,South,UNI,2018,2018,39,363,0.107
N,South,UNI,2019,2019,363,363,1
Y,South,UNI,2019,2019,0,363,0
N,Suisun Bay,CLL,2010,2010,365,365,1
Y,Suisun Bay,CLL,2010,2010,0,365,0
N,Suisun Bay,CLL,2011,2011,365,365,1
Y,Suisun Bay,CLL,2011,2011,0,365,0
N,Suisun Bay,CLL,2012,2012,362,362,1
Y,Suisun Bay,CLL,2012,2012,0,362,0
N,Suisun Bay,CLL,2013,2013,357,357,1
Y,Suisun Bay,CLL,2013,2013,0,357,0
N,Suisun Bay,CLL,2014,2014,365,365,1
Y,Suisun Bay,CLL,2014,2014,0,365,0
N,Suisun Bay,CLL,2015,2015,362,362,1
Y,Suisun Bay,CLL,2015,2015,0,362,0
N,Suisun Bay,CLL,2016,2016,366,366,1
Y,Suisun Bay,CLL,2016,2016,0,366,0
N,Suisun Bay,CLL,2017,2017,365,365,1
Y,Suisun Bay,CLL,2017,2017,0,365,0
N,Suisun Bay,CLL,2018,2018,360,360,1
Y,Suisun Bay,CLL,2018,2018,0,360,0
N,Suisun Bay,CLL,2019,2019,358,358,1
Y,Suisun Bay,CLL,2019,2019,0,358,0
N,Suisun Bay,CSE,2010,2010,365,365,1
Y,Suisun Bay,CSE,2010,2010,0,365,0
N,Suisun Bay,CSE,2011,2011,361,361,1
Y,Suisun Bay,CSE,2011,2011,0,361,0
N,Suisun Bay,CSE,2012,2012,365,365,1
Y,Suisun Bay,CSE,2012,2012,0,365,0
N,Suisun Bay,CSE,2013,2013,364,364,1
Y,Suisun Bay,CSE,2013,2013,0,364,0
N,Suisun Bay,CSE,2014,2014,361,361,1
Y,Suisun Bay,CSE,2014,2014,0,361,0
N,Suisun Bay,CSE,2015,2015,363,363,1
Y,Suisun Bay,CSE,2015,2015,0,363,0
N,Suisun Bay,CSE,2016,2016,363,363,1
Y,Suisun Bay,CSE,2016,2016,0,363,0
N,Suisun Bay,CSE,2017,2017,361,361,1
Y,Suisun Bay,CSE,2017,2017,0,361,0
N,Suisun Bay,CSE,2018,2018,362,362,1
Y,Suisun Bay,CSE,2018,2018,0,362,0
N,Suisun Bay,CSE,2019,2019,362,362,1
Y,Suisun Bay,CSE,2019,2019,0,362,0
N,Suisun Bay,MAL,2010,2010,365,365,1
Y,Suisun Bay,MAL,2010,2010,0,365,0
N,Suisun Bay,MAL,2011,2011,365,365,1
Y,Suisun Bay,MAL,2011,2011,0,365,0
N,Suisun Bay,MAL,2012,2012,366,366,1
Y,Suisun Bay,MAL,2012,2012,0,366,0
N,Suisun Bay,MAL,2013,2013,363,363,1
Y,Suisun Bay,MAL,2013,2013,0,363,0
N,Suisun Bay,MAL,2014,2014,364,364,1
Y,Suisun Bay,MAL,2014,2014,0,364,0
N,Suisun Bay,MAL,2015,2015,362,362,1
Y,Suisun Bay,MAL,2015,2015,0,362,0
N,Suisun Bay,MAL,2016,2016,364,364,1
Y,Suisun Bay,MAL,2016,2016,0,364,0
N,Suisun Bay,MAL,2017,2017,362,362,1
Y,Suisun Bay,MAL,2017,2017,0,362,0
N,Suisun Bay,MAL,2018,2018,363,363,1
Y,Suisun Bay,MAL,2018,2018,0,363,0
N,Suisun Bay,MAL,2019,2019,359,359,1
Y,Suisun Bay,MAL,2019,2019,0,359,0
N,Suisun Bay,MRZ,2010,2010,362,362,1
Y,Suisun Bay,MRZ,2010,2010,0,362,0
N,Suisun Bay,MRZ,2011,2011,355,355,1
Y,Suisun Bay,MRZ,2011,2011,0,355,0
N,Suisun Bay,MRZ,2012,2012,366,366,1
Y,Suisun Bay,MRZ,2012,2012,0,366,0
N,Suisun Bay,MRZ,2013,2013,365,365,1
Y,Suisun Bay,MRZ,2013,2013,0,365,0
N,Suisun Bay,MRZ,2014,2014,346,346,1
Y,Suisun Bay,MRZ,2014,2014,0,346,0
N,Suisun Bay,MRZ,2015,2015,362,362,1
Y,Suisun Bay,MRZ,2015,2015,0,362,0
N,Suisun Bay,MRZ,2016,2016,364,364,1
Y,Suisun Bay,MRZ,2016,2016,0,364,0
N,Suisun Bay,MRZ,2017,2017,362,362,1
Y,Suisun Bay,MRZ,2017,2017,0,362,0
N,Suisun Bay,MRZ,2018,2018,362,362,1
Y,Suisun Bay,MRZ,2018,2018,0,362,0
N,Suisun Bay,MRZ,2019,2019,363,363,1
Y,Suisun Bay,MRZ,2019,2019,0,363,0
N,Suisun Bay,MSL,2010,2010,365,365,1
Y,Suisun Bay,MSL,2010,2010,0,365,0
N,Suisun Bay,MSL,2011,2011,364,364,1
Y,Suisun Bay,MSL,2011,2011,0,364,0
N,Suisun Bay,MSL,2012,2012,366,366,1
Y,Suisun Bay,MSL,2012,2012,0,366,0
N,Suisun Bay,MSL,2013,2013,365,365,1
Y,Suisun Bay,MSL,2013,2013,0,365,0
N,Suisun Bay,MSL,2014,2014,363,363,1
Y,Suisun Bay,MSL,2014,2014,0,363,0
N,Suisun Bay,MSL,2015,2015,351,351,1
Y,Suisun Bay,MSL,2015,2015,0,351,0
N,Suisun Bay,MSL,2016,2016,364,364,1
Y,Suisun Bay,MSL,2016,2016,0,364,0
N,Suisun Bay,MSL,2017,2017,363,363,1
Y,Suisun Bay,MSL,2017,2017,0,363,0
N,Suisun Bay,MSL,2018,2018,362,362,1
Y,Suisun Bay,MSL,2018,2018,0,362,0
