contrast,estimate,SE,df,z.ratio,p.value,Sig
fWY2000 - fWY2007,0.4016390410639718,0.10297106266433774,Inf,3.900503992788962,0.014202900169815291,yes
fWY2000 - fWY2008,0.41716474955702504,0.10185703796249294,Inf,4.095590819268066,0.0066189659757003305,yes
fWY2000 - fWY2010,0.7131792423106575,0.10185703796249294,Inf,7.001766952748746,4.800058128751061e-10,yes
fWY2000 - fWY2011,1.176947358252673,0.10185703796249296,Inf,11.554894799572544,0,yes
fWY2000 - fWY2012,0.6124546046294778,0.10185703796249293,Inf,6.012884498516474,3.4402267956590293e-7,yes
fWY2000 - fWY2014,-0.3991395982690427,0.10185703796249293,Inf,-3.918625617367932,0.013259031888192774,yes
fWY2000 - fWY2015,-1.380661337399483,0.10185703796249294,Inf,-13.554893849435196,0,yes
fWY2000 - fWY2016,-0.48355988812413564,0.10185703796249293,Inf,-4.747437170735301,3.6520618854163356e-4,yes
fWY2000 - fWY2017,0.580570546658479,0.10185703796249293,Inf,5.699856959047483,2.25028649603054e-6,yes
fWY2000 - fWY2019,0.5191087276042455,0.10297338430975261,Inf,5.041193227589012,8.427604926919408e-5,yes
fWY2001 - fWY2005,0.44462012035818954,0.09902392911630749,Inf,4.490027050289691,0.001218478416102231,yes
fWY2001 - fWY2006,0.6431708449958812,0.09902392911630747,Inf,6.495105281476479,1.5729359259530895e-8,yes
fWY2001 - fWY2010,0.6257795406480481,0.09902392911630749,Inf,6.319477991153486,4.969683464750574e-8,yes
fWY2001 - fWY2011,1.0895476565900635,0.09902392911630747,Inf,11.002872399764579,1.4654943925052066e-13,yes
fWY2001 - fWY2012,0.5250549029668683,0.09902392911630747,Inf,5.302303268033031,2.1161020460125357e-5,yes
fWY2001 - fWY2014,-0.4865392999316522,0.09902392911630747,Inf,-4.913350785749905,1.614113556288599e-4,yes
fWY2001 - fWY2015,-1.4680610390620925,0.09902392911630747,Inf,-14.825315983349817,0,yes
fWY2001 - fWY2016,-0.5709595897867451,0.09902392911630747,Inf,-5.765874924192624,1.5268460045181342e-6,yes
fWY2001 - fWY2017,0.4931708449958695,0.09902392911630747,Inf,4.980319902441167,1.1509488257177569e-4,yes
fWY2001 - fWY2019,0.43170902594163607,0.10015756857821467,Inf,4.310298583221971,0.002698156052492462,yes
fWY2002 - fWY2005,0.4718188286831755,0.09776963570044765,Inf,4.8258216909875955,2.49269536718999e-4,yes
fWY2002 - fWY2006,0.6703695533208671,0.09776963570044765,Inf,6.856623209426541,1.3384037211849886e-9,yes
fWY2002 - fWY2008,0.35696375621940146,0.09776963570044765,Inf,3.651069717730032,0.034921574032452996,yes
fWY2002 - fWY2010,0.652978248973034,0.09776963570044765,Inf,6.678742784453725,4.5722128305669685e-9,yes
fWY2002 - fWY2011,1.1167463649150495,0.09776963570044765,Inf,11.422220783726786,0,yes
fWY2002 - fWY2012,0.5522536112918542,0.09776963570044764,Inf,5.648518656486369,3.0331547175022067e-6,yes
fWY2002 - fWY2014,-0.4593405916066663,0.09776963570044764,Inf,-4.69819272942799,4.625993120517258e-4,yes
fWY2002 - fWY2015,-1.4408623307371065,0.09776963570044765,Inf,-14.737319213827337,0,yes
fWY2002 - fWY2016,-0.5437608814617592,0.09776963570044764,Inf,-5.561653958983398,4.995864234413894e-6,yes
fWY2002 - fWY2017,0.5203695533208554,0.09776963570044765,Inf,5.322404544036496,1.8968514613471044e-5,yes
fWY2002 - fWY2019,0.458907734266622,0.09891076156901642,Inf,4.639613799216503,6.106183797462972e-4,yes
fWY2003 - fWY2005,0.4434782608695671,0.09652191953959643,Inf,4.594586006835866,7.538405742811838e-4,yes
fWY2003 - fWY2006,0.6420289855072587,0.09652191953959643,Inf,6.651639219046794,5.498351995925077e-9,yes
fWY2003 - fWY2010,0.6246376811594256,0.09652191953959642,Inf,6.471459375641396,1.8397183998430933e-8,yes
fWY2003 - fWY2011,1.0884057971014411,0.09652191953959643,Inf,11.276255199783316,3.108624468950438e-14,yes
fWY2003 - fWY2012,0.5239130434782459,0.09652191953959643,Inf,5.42791778258533,1.0609045188014754e-5,yes
fWY2003 - fWY2014,-0.4876811594202746,0.09652191953959642,Inf,-5.05254310882423,7.948309321315072e-5,yes
fWY2003 - fWY2015,-1.4692028985507148,0.09652191953959642,Inf,-15.221443021012446,0,yes
fWY2003 - fWY2016,-0.5721014492753675,0.09652191953959642,Inf,-5.927166098687801,5.810421880303451e-7,yes
fWY2003 - fWY2017,0.49202898550724705,0.09652191953959642,Inf,5.097588069675726,6.291534540359134e-5,yes
fWY2003 - fWY2019,0.43056716645301363,0.09767071412823206,Inf,4.408354851257883,0.0017571289804758639,yes
fWY2004 - fWY2005,0.6535232566164901,0.09661025034824346,Inf,6.764533310500549,2.5380100243665993e-9,yes
fWY2004 - fWY2006,0.8520739812541818,0.09661025034824344,Inf,8.81970575775114,1.5265566588595902e-13,yes
fWY2004 - fWY2007,0.523142475659663,0.09775746617906529,Inf,5.35143243894443,1.6184906870164717e-5,yes
fWY2004 - fWY2008,0.5386681841527162,0.09661025034824344,Inf,5.5756835554304125,4.6114340075398275e-6,yes
fWY2004 - fWY2010,0.8346826769063487,0.09661025034824343,Inf,8.639690652882413,1.7219559111936178e-13,yes
fWY2004 - fWY2011,1.2984507928483642,0.09661025034824344,Inf,13.440093449379747,0,yes
fWY2004 - fWY2012,0.7339580392251689,0.09661025034824344,Inf,7.597103170517906,5.873967978686778e-12,yes
fWY2004 - fWY2015,-1.2591579028037918,0.09661025034824343,Inf,-13.03337791036669,0,yes
fWY2004 - fWY2016,-0.3620564535284445,0.09661025034824344,Inf,-3.747598750892041,0.024915738175579127,yes
